artist_1	artist_2	count	song_ids
Anuel AA	Ozuna	15	['14Ub5CX67F4si1R5UJxM43', '1U8Ta5gcm2xhma1FQS2bKV', '3jbT1Y5MoPwEIpZndDDwVq', '7m6aTkKrrPHAZ4fGnksoda', '73O30uMI7n6DuzBmbtO7kC', '7IrHrOQnhaHDDfZoraPVhb', '7oHsIIDKbEJlFULg1HF0pP', '2sqgNScWya6T8PwKMELYW8', '1tu5h5BU2WWrGH407kU0pe', '2nVOSrxGjCqblT9CKqEMHi', '6UlIGL6Nv5KKTNH2c6vYTP', '22NqmIHKn0kd8CCFql4ZG4', '3F5OoUJSVVC1f5PwOxcx0N', '770EsvNdHAr56fPBhZxUH6', '0KkIkfsLEJbrcIhYsCL7L5']
Bad Bunny	J Balvin	7	['25ZAibhr3bdlMCLmubZDVt', '0EhpEsp4L0oRGM0vmeaN5e', '0fea68AdmYNygeTGI4RC18', '7hynhxDoDpgMIV12JuVtNa', '4R8BJggjosTswLxtkw8V7P', '05bfbizlM5AX6Mf1RRyMho', '66x45Yh9x397PWpxMX0ZDT']
Arcángel	Sech	6	['5W1qmxHrMlQGGAiFA3ZQqP', '3yoDVeVWIPSuH1IolXKA0X', '7sQKy5vlPQllr0k9IjYJv3', '7g3ezLhEW38T80iydvEyQz', '5HokHzcT1yQtsy7lLagEiA', '6K5BsR04ijf3FHNzjbaagD']
Jhayco	Myke Towers	6	['43qcs9NpJhDxtG91zxFkj7', '3xv8JksRyqHa1lwkM9xvJf', '3fHEwAssCgM4wJYdjT5Ch0', '343HgC6SVFtTAgMPlGoNjn', '71CIZGbBZR71GfQFB8c2xU', '7LE1K0lZyRFZjSlrnm7lfD']
J Balvin	Sech	5	['7iqOIHHEmu6Vhw25GgQ2eA', '7lUdbnz7wsv3C9zzf4WHl9', '35UUpTmrcFXNIVIN26ujXl', '1mG8VynhqySA52bALfYrvO', '5zj8WNkBrEzlI5FKeYV4ol']
Los Legendarios	Wisin	5	['5Mw46yRtdiOdjqSG0eDItr', '2bgcUk2A3jjKbCJ7KPquTi', '43qcs9NpJhDxtG91zxFkj7', '56KhDgM8O8rHxBI7CIEGCw', '7Bk0uXKk1uPT0XuQbpFzvs']
Myke Towers	Rauw Alejandro	5	['20vM5hycZtDFwvpNWXU6su', '7ndTONDDRFGiPnnhOzOXxq', '5VzNsUnLmYcRfRfxpQsusa', '7meQTf97i7gyAzeHTLIytv', '7LE1K0lZyRFZjSlrnm7lfD']
Anuel AA	Jhayco	5	['3qM0vBxIe4VUbK0Z0smuVP', '43qcs9NpJhDxtG91zxFkj7', '3xv8JksRyqHa1lwkM9xvJf', '3fHEwAssCgM4wJYdjT5Ch0', '3JCaq3KDSROg3TXhdiDa9n']
Farruko	Myke Towers	5	['1En6OzqLa2XWiY1We4jHms', '6dyUkkcyYuDiHOwIRXYOJm', '1aUGxXCz9QimNkKeiJtzZ7', '4gChz67rTHfVzKCZAHsifM', '6K5BsR04ijf3FHNzjbaagD']
Camilo	Evaluna Montaner	5	['6RV9pRLIQiXm3qTGeyQluf', '0pgj4EzB1XRqgZemoMNG5D', '7AjcJrynzHWlawo87kafY2', '4knc1Fp3kbuq8bH2byOvLu', '1LXb70u8SLsvBAPWHMCTMe']
J Balvin	KAROL G	5	['5Km4r87BoX2qqtoprYS1gh', '2K1CQMoG2Dy5nmeOYnhoi8', '478g4LSkyMB1PMkVOVmIaE', '0KkIkfsLEJbrcIhYsCL7L5', '1WedZeiezCmCEOzLwhx0hV']
Anderson .Paak	Bruno Mars	4	['7MAibcTli4IisCtbHKrGMh', '7sMBvZCSUl99bJLXZaLa0b', '1LPSkqVhWVRUkKE03YUkpB', '4iN16F8JtVxG2UTzp3avGl']
Anderson .Paak	Silk Sonic	4	['7MAibcTli4IisCtbHKrGMh', '7sMBvZCSUl99bJLXZaLa0b', '1LPSkqVhWVRUkKE03YUkpB', '4iN16F8JtVxG2UTzp3avGl']
Bruno Mars	Silk Sonic	4	['7MAibcTli4IisCtbHKrGMh', '7sMBvZCSUl99bJLXZaLa0b', '1LPSkqVhWVRUkKE03YUkpB', '4iN16F8JtVxG2UTzp3avGl']
Daddy Yankee	J Balvin	4	['35UUpTmrcFXNIVIN26ujXl', '1mG8VynhqySA52bALfYrvO', '0KkIkfsLEJbrcIhYsCL7L5', '1hfufCKTZ0wIQwoW9tXoDR']
Casper Magico	Nio Garcia	4	['0VWLId2RwPCno9s1cJm2Vy', '7meQTf97i7gyAzeHTLIytv', '3X5M53Xi5k1SijRtZMM3TA', '2etJ67Egf7woMgOikVrlJM']
Bad Bunny	Tainy	4	['4gzsuuZypVbxs0Af1LSZyB', '0EhpEsp4L0oRGM0vmeaN5e', '66x45Yh9x397PWpxMX0ZDT', '2TH65lNHgvLxCKXM3apjxI']
J Balvin	Tainy	4	['0EhpEsp4L0oRGM0vmeaN5e', '66x45Yh9x397PWpxMX0ZDT', '7CtbxAGq2P0jtYh6SH9DMR', '1pqnQ41XbfKjaFu6M0eGJp']
Jhayco	Los Legendarios	4	['56KhDgM8O8rHxBI7CIEGCw', '5Mw46yRtdiOdjqSG0eDItr', '43qcs9NpJhDxtG91zxFkj7', '7Bk0uXKk1uPT0XuQbpFzvs']
Jhayco	Wisin	4	['56KhDgM8O8rHxBI7CIEGCw', '5Mw46yRtdiOdjqSG0eDItr', '43qcs9NpJhDxtG91zxFkj7', '7Bk0uXKk1uPT0XuQbpFzvs']
Lenny Tavárez	Rauw Alejandro	4	['7meQTf97i7gyAzeHTLIytv', '50ZC4PM7hywH27RcCfViau', '47ZS1OjnJpJVfGN9yHXfMn', '3dEtfTtCXWW7N8WQ9FD29z']
Crissin	Natan & Shander	4	['2K1CQMoG2Dy5nmeOYnhoi8', '47gSYfwFBbV1BXHfXEq1qs', '7xT1n5JKpB0bMPh6FL589e', '1WedZeiezCmCEOzLwhx0hV']
Crissin	Totoy El Frio	4	['2K1CQMoG2Dy5nmeOYnhoi8', '47gSYfwFBbV1BXHfXEq1qs', '7xT1n5JKpB0bMPh6FL589e', '1WedZeiezCmCEOzLwhx0hV']
Natan & Shander	Totoy El Frio	4	['2K1CQMoG2Dy5nmeOYnhoi8', '47gSYfwFBbV1BXHfXEq1qs', '7xT1n5JKpB0bMPh6FL589e', '1WedZeiezCmCEOzLwhx0hV']
Anuel AA	Myke Towers	4	['3fHEwAssCgM4wJYdjT5Ch0', '3xv8JksRyqHa1lwkM9xvJf', '6bvfJf4KjonPMuPfGfy3S2', '43qcs9NpJhDxtG91zxFkj7']
Dalex	Lenny Tavárez	4	['5stPVcRqb4qixbafP9e8lt', '7g8YaUQABMal0zWe7a2ijz', '50ZC4PM7hywH27RcCfViau', '5W1qmxHrMlQGGAiFA3ZQqP']
Anuel AA	J Balvin	4	['3qM0vBxIe4VUbK0Z0smuVP', '478g4LSkyMB1PMkVOVmIaE', '5Km4r87BoX2qqtoprYS1gh', '0KkIkfsLEJbrcIhYsCL7L5']
Duki	KHEA	3	['5RmSunLqeDqNWww8LWhAiK', '7I8L3vYCLThw2FDrE6LuzE', '2ECIwi1a7mfokdDkkJ08Ne']
Mr. Naisgai	Rauw Alejandro	3	['78QcVmzxS0wIwuC2rpAauI', '0PwFN7vRvY80Hnkoew2x3f', '71R8HJxQk5qMiRstrlXN9t']
Chencho Corleone	Rauw Alejandro	3	['6mmPpaltUZK7xjNlBPQQ0p', '74j34STf8L6uADnTN69ohv', '4SJHHpKhcuXwDsCsPqshXj']
Lyanno	Rauw Alejandro	3	['74j34STf8L6uADnTN69ohv', '47ZS1OjnJpJVfGN9yHXfMn', '3dEtfTtCXWW7N8WQ9FD29z']
Chael Produciendo	El Alfa	3	['2L95U6syP0bV3fkYYOzmiW', '4QfZYDhGZc0T2RDvGiI69E', '2gMau9LsRZtWOrq5cBGywB']
Anuel AA	Daddy Yankee	3	['5q2JbCNi4FcnglgPfxcV65', '0KkIkfsLEJbrcIhYsCL7L5', '3kml9ZdpT7UYk1ugkjqOzt']
Arcángel	Bad Bunny	3	['4z6wo6PJG4Fve45OXK6D9m', '6C1RD7YQVvt3YQj0CmuTeu', '6NSMQFKgjpQb0KkjMDYIK0']
Bizarrap	Duki	3	['1b62AO1IzcVr5SOgoguc9o', '6GsD646HrIDJJpzoY9T1Rt', '42ahuAFlYGjIGBpVdHcLij']
Farruko	Sech	3	['35UUpTmrcFXNIVIN26ujXl', '6K5BsR04ijf3FHNzjbaagD', '4gChz67rTHfVzKCZAHsifM']
DJ Luian	Mambo Kingz	3	['6C1RD7YQVvt3YQj0CmuTeu', '6NSMQFKgjpQb0KkjMDYIK0', '5RAIMjdrCEjpjaR5tBATXU']
Myke Towers	Nio Garcia	3	['0VWLId2RwPCno9s1cJm2Vy', '7meQTf97i7gyAzeHTLIytv', '6bvfJf4KjonPMuPfGfy3S2']
DJ Nelson	Jay Wheeler	3	['4HYDUMY0xSpeBr0AMY9cUz', '1mrQYY0NATPCe7WOYcCKf1', '7LE1K0lZyRFZjSlrnm7lfD']
Jay Wheeler	Myke Towers	3	['4HYDUMY0xSpeBr0AMY9cUz', '7LE1K0lZyRFZjSlrnm7lfD', '4gChz67rTHfVzKCZAHsifM']
Arcángel	Farruko	3	['6C1RD7YQVvt3YQj0CmuTeu', '1aUGxXCz9QimNkKeiJtzZ7', '6K5BsR04ijf3FHNzjbaagD']
Arcángel	De La Ghetto	3	['6qmi7bapPoaIr0riLzoo29', '5W1qmxHrMlQGGAiFA3ZQqP', '3pnpENd2PXAKuetjLIylEr']
Myke Towers	Wisin	3	['2bgcUk2A3jjKbCJ7KPquTi', '6dyUkkcyYuDiHOwIRXYOJm', '43qcs9NpJhDxtG91zxFkj7']
J Balvin	Nicky Jam	3	['2K1CQMoG2Dy5nmeOYnhoi8', '7lUdbnz7wsv3C9zzf4WHl9', '1WedZeiezCmCEOzLwhx0hV']
Justin Quiles	Maluma	3	['4RJz8NfIe09gpKMiRUWKhJ', '7lUdbnz7wsv3C9zzf4WHl9', '6GPBXtnSepHovJi1uD1Ggj']
Dalex	Dímelo Flow	3	['5stPVcRqb4qixbafP9e8lt', '50ZC4PM7hywH27RcCfViau', '5W1qmxHrMlQGGAiFA3ZQqP']
Dímelo Flow	Lenny Tavárez	3	['5stPVcRqb4qixbafP9e8lt', '50ZC4PM7hywH27RcCfViau', '5W1qmxHrMlQGGAiFA3ZQqP']
Justin Quiles	Lenny Tavárez	3	['4RJz8NfIe09gpKMiRUWKhJ', '6lX6l7OuA3qrnIRfdsr0dw', '5W1qmxHrMlQGGAiFA3ZQqP']
J Balvin	Jhayco	3	['4R8BJggjosTswLxtkw8V7P', '3qM0vBxIe4VUbK0Z0smuVP', '0Pe4DpJDmZtOybHgrZ1hyM']
Bad Bunny	Jhayco	3	['4R8BJggjosTswLxtkw8V7P', '4MzXwWMhyBbmu6hOcLVD49', '2tFwfmceQa1Y6nRPhYbEtC']
Myke Towers	Ñengo Flow	3	['1cH9JMgvzkOXGKPiegrBjw', '1aUGxXCz9QimNkKeiJtzZ7', '4kdMfObhCkNZ47gsl63uXP']
Camilo	Mau y Ricky	3	['56f5qnyAlZdlz8wrUDA50h', '5hXlAWrc8L8hYhxUnXlqFf', '7AjcJrynzHWlawo87kafY2']
Tainy	Yandel	3	['2BfkUFn2EbEKYOMkm90HuP', '7Hzh5oY6cIitvcK6oJDwTb', '0GovomHOO7m93RvjaDPaLH']
Flow La Movie	Nio Garcia	3	['0VWLId2RwPCno9s1cJm2Vy', '2etJ67Egf7woMgOikVrlJM', '2dNhNlpZAtV4lwAFW45LIv']
J Balvin	Ozuna	3	['5y7DaS3jAc9eZzcSOoUIwU', '77J8t2pFJYI8k4tZgJ3ybY', '0KkIkfsLEJbrcIhYsCL7L5']
KAROL G	Nicky Jam	3	['2K1CQMoG2Dy5nmeOYnhoi8', '5vQy9fwVJTeLsaX9IOpCcp', '1WedZeiezCmCEOzLwhx0hV']
Anuel AA	KAROL G	3	['478g4LSkyMB1PMkVOVmIaE', '5Km4r87BoX2qqtoprYS1gh', '0KkIkfsLEJbrcIhYsCL7L5']
Kika Edgar	sonoradinamita	2	['18buHOK6zcFhpMDOUO5MCw', '2vw9TcQLOkCjCcSX3rKyJb']
Eddy Lover	La Factoria	2	['0I0o9LdUckzfXcxjWy1vlo', '6yLqoieklk9gwabLaUDJ4s']
Justin Bieber	benny blanco	2	['4y4spB9m0Q6026KfkAvy9Q', '3S8jK1mGzQi24ilFb45DAZ']
J Balvin	Skrillex	2	['1q0PYXTbDsirp2l74ng6pn', '63aj87TQG6F3RVO5nbG2VQ']
Drake	Lil Baby	2	['37Nqx7iavZpotJSDXZWbJ3', '65OVbaJR5O1RmwOQx0875b']
