artist_1	artist_2	count	song_ids
Capital Bra	Samra	29	['3tvgQvCRAzZrVelEy3ca0t', '79QY2nAPZA9NqN66fvD8AH', '4Rif4wqdvzy84dhP1apC4Y', '1VEMUkGFio5uURvN8x1DZJ', '0IYeDX2PULhKBySpB2mYmF', '0eKKoqxVuKTQAfzNXlCeCD', '1mdJ39D1lrR3aWIOhgeNaE', '5A8bAcbuHmiWKSsEIptv0z', '3ME2RHvx9JyVQjFFMbLIvt', '5sdQ7VUx6GOfsRoSxnK1YG', '0Dlcu2fgHklOnajVu2dUNU', '67ojvEGRPAUCOohuMPqoRC', '7gIORSoIKw1q4BtD9xLv6K', '1ag6DENIjtcmRFCx5JjUng', '2kkcJ8tSDV42LdWcPjy6We', '6AFIVhbJLR7YVvW9fLFMu1', '4yoqO3xixoJN4lxysk6aFB', '0AKDcdzjQ7CNjrqfXgwnMt', '5h10tw9LYCWPFgqJttM2U0', '3drwaFqLSEjqzjNRbjap0R', '6fDC5DIa4bt6NbPZWR1yxM', '2pfio0uHpT4USTPBNeTIWo', '48MObOqsm6N19vdc3AdYsu', '1EEif6kePd2mu4c0bDbuSZ', '2JGCmuEB2wYvxyBuuXSfDu', '3VyRiEUfiieIiF4kVrS1CF', '6jnDTH0mVCdCFn0Hp5MI9g', '1vbkGTBLNJYRvT5GJlWXLf', '5BQwQDyMKyo4GCV7cDId21']
LX	Maxwell	22	['3gH7k48SZMTMdn4GUaIaZR', '15hozX1BAMMndIG7ovyDZ7', '06A8IAZELgqnjQTaISHxXc', '6npNOhKIiAHRzlLkbIEKpL', '79ADo3AvvlZKOVr4lrlToG', '1X9Ac0NjNPyOnCfHsDIZJC', '2G2VgJR9JPOZ1uNYw5HjaI', '07MPytx5xrnK6zJK5RbFSR', '2Y6m0Qh5HvO3rikg7dlCav', '5uiiPMD59eUxBPIqQYHMjV', '3Zg80xruh2KHx3jXrkSz6u', '1oBsrVp5CpLVpxX0WdHQvt', '4okbXrQBKk6BBhiQm3BX5m', '7fhVx7OtJaWz6GB9RoR2FB', '1ItPzUiqRo9GU0y2bnoxnG', '2rc6GSVnk0qWLthc3NtTpr', '7jSIHRx9xSgT7YslQl6nCW', '25nlS0F60UxPJtpSGAhsPP', '5IG08srHq9HrBt7Fbsxdz1', '0kLA41xkWzzYzMIEGFuDkP', '6vqwNBT87x37nNvfmuNTaJ', '5M4IVueKXd2OntcoUHIxdr']
Azet	Zuna	19	['0EDfHoIv0QzEybexqdnYkI', '1EBK8F9hcrAQo2OGJ66ILb', '7varEevkxnTyw3qufGfE6V', '6eWgN8PoowGfqvDYVPxZAq', '31Zs71Yb7YoPlFx2p1uKRX', '7DPU8m1PkKE6t1uekL4Fm4', '3gs4lX2JSAFc8v8piogE3i', '61A9J4906Zkuqd22oasZVR', '0zhIsKJiASrRn0k3kRLnAj', '5dhon2CluRK2u1m8hJHmk6', '4l39FpxE1Gq0G6T2wMaabb', '0RjhrAgD7bSYBi0fyqX616', '0qzX2dAs1otoAABKNHUwRb', '26pr9oLIVAc1L62F2exIRT', '3aYAAXlB1yvUs5MJ0FI3bh', '4CBmq7qDSuIna6QhW11hYv', '1wtKmJbFITh1WRz70QWksh', '23N0z3XkwS2ErcNKsgCWAb', '2E65WRtNfdWZjnIEaah9fA']
KitschKrieg	Trettmann	17	['2xdUpWc9ze3Id96OPKmons', '4u5MscVA10KEZQWUWh1n1N', '1BPeDi69y1PIqB9Hnc5DVu', '22ET3BvBsXcGiwxy1uXPbU', '0mNUJ3jK7QnbEz0mcPkTlq', '68mJ67zAIXTygZYutyuNHo', '796oowuQ9rWmIgOmmSirKh', '7GsjIMQUooKbmPL6AzOR3d', '1rn5uhAxbKLliAPwOYKoVj', '4Nip6oiJU24LqcUEi7u19S', '5U0xzeW4o26c0bzDxafwQ6', '5V2skqFSSxGaZt4vIPZq9z', '23XgusOb0SLiIMnUKmiB3V', '3YHs4REANQ6TVDWFsrBaFA', '1rciHe0jRJnF3J6CuAwOH0', '2e5o25udr5nhMuklOTZUME', '5thTifzv6XFkdaQSrV6Pqk']
Animus	Bushido	15	['2ROeNgkjxZJE3LJhlkZVGo', '2l2UsmkfgmRC6fIDwwsiNM', '58hnus5ZtuKk94xJeleiZE', '7b7pfgye0awKoreEi1QpJ5', '1O0cNn91kAnNlZo49nzFML', '4fy12rQMwE6DBflK5XLJeP', '2Ji68o8wf7m5XVCF5xbKzj', '3aHv4wCdnVS8ME3oZj2uyA', '39QE4mHSIvZzRmPy0RaSmx', '4BSoHTrf66yZt51GIXVdDf', '0GBLFtjCJnSbf9gmdtV6MV', '7iGvWkhq8QGQAN4mwth3gL', '1qr68CCILX6NX7SpFG6Bd3', '5jQy2sgcE3UDzoiAoLsWet', '6U6dxQKtAhGBXpV3KW37YM']
Capo	Nimo	11	['0Kd1QMAhIFhqltE5eQkVzX', '6UcDLqJ1WUBJsnLWkSeEd9', '7oucWf5O0GQOdUWTAIGP9u', '6ujq8IjOGkbJrp09qarW1E', '08OFGhKf7mK1BGhzMtXaqo', '3TMW1GOB1lsmvf8er2dE8g', '308tiF4zDMle4qz7fg0w7K', '6sOEMx5vECgoCAyIU9eb7b', '5ryCDI7vwLZp2PyHRdXGLC', '5erXSPunefKTlYNuZb3SMk', '0dGSOCj6hdV5Nr0V8FjONc']
KitschKrieg	SFR	11	['2xdUpWc9ze3Id96OPKmons', '4u5MscVA10KEZQWUWh1n1N', '22ET3BvBsXcGiwxy1uXPbU', '1BPeDi69y1PIqB9Hnc5DVu', '0mNUJ3jK7QnbEz0mcPkTlq', '796oowuQ9rWmIgOmmSirKh', '7GsjIMQUooKbmPL6AzOR3d', '5U0xzeW4o26c0bzDxafwQ6', '23XgusOb0SLiIMnUKmiB3V', '3YHs4REANQ6TVDWFsrBaFA', '5thTifzv6XFkdaQSrV6Pqk']
SFR	Trettmann	11	['2xdUpWc9ze3Id96OPKmons', '4u5MscVA10KEZQWUWh1n1N', '22ET3BvBsXcGiwxy1uXPbU', '1BPeDi69y1PIqB9Hnc5DVu', '0mNUJ3jK7QnbEz0mcPkTlq', '796oowuQ9rWmIgOmmSirKh', '7GsjIMQUooKbmPL6AzOR3d', '5U0xzeW4o26c0bzDxafwQ6', '23XgusOb0SLiIMnUKmiB3V', '3YHs4REANQ6TVDWFsrBaFA', '5thTifzv6XFkdaQSrV6Pqk']
Bad Bunny	J Balvin	10	['25ZAibhr3bdlMCLmubZDVt', '7knLcYCOSaURD0d7HUULFM', '0fea68AdmYNygeTGI4RC18', '71pEiUWwfDFiRO6RmFpnBf', '7hynhxDoDpgMIV12JuVtNa', '4R8BJggjosTswLxtkw8V7P', '7alOsNr36sJ8CyOEP4aILq', '58q2HKrzhC3ozto2nDdN4z', '6SYSu569pfYdkDT9A5lZqi', '0uIfrUwwg0Z7KTitul7E3T']
Bonez MC	LX	8	['2rc6GSVnk0qWLthc3NtTpr', '7jSIHRx9xSgT7YslQl6nCW', '2LajDi2g0nNpMdUjJLXoWE', '6npNOhKIiAHRzlLkbIEKpL', '0kLA41xkWzzYzMIEGFuDkP', '5M4IVueKXd2OntcoUHIxdr', '1ItPzUiqRo9GU0y2bnoxnG', '5uiiPMD59eUxBPIqQYHMjV']
